epoch,train_loss,val_loss,val_mae,val_r2,val_within_5,val_pred_std,val_clin_acc,lr
1,273.046642,301.258046,59.9152,-36.654877,0.0000,0.0004,0.0536,2.00e-04
2,247.245236,229.076706,45.9632,-21.545591,0.0119,0.0015,0.0536,4.00e-04
3,104.097474,28.158447,7.4519,-0.038350,0.4077,0.2094,0.7321,6.00e-04
4,57.581518,22.533092,6.4123,0.175050,0.5387,6.6948,0.7292,8.00e-04
5,50.240830,22.661903,6.4524,0.129172,0.5357,4.6735,0.7292,1.00e-03
6,40.460190,43.864792,10.4016,-0.617713,0.2619,8.8228,0.4286,1.00e-03
7,40.963898,27.193119,7.1883,0.078354,0.4762,9.6842,0.6101,9.99e-04
8,37.358911,55.623648,12.6226,-1.481562,0.2440,10.9675,0.3720,9.98e-04
9,37.581930,30.567155,7.8686,-0.117572,0.4315,11.1760,0.5804,9.96e-04
10,34.983124,29.623798,7.9424,-0.012422,0.3720,8.3741,0.4226,9.93e-04
11,34.912141,32.341990,8.0924,-0.050896,0.3690,7.1916,0.5982,9.90e-04
12,33.536601,24.174878,6.6519,0.204427,0.4613,9.5294,0.6786,9.87e-04
13,31.270213,26.190486,7.1959,0.141530,0.4405,9.0592,0.5417,9.83e-04
14,32.917161,21.509041,6.1136,0.315353,0.5238,9.3456,0.6935,9.78e-04
15,34.453827,26.936622,7.2672,0.113025,0.4077,9.0680,0.4970,9.73e-04
16,32.590658,30.313630,7.7525,-0.130451,0.4643,11.1030,0.6369,9.67e-04
17,30.264238,25.631500,6.8000,0.184902,0.4792,9.1346,0.6637,9.61e-04
18,30.751836,23.732553,6.5866,0.233604,0.4643,9.4232,0.5863,9.55e-04
19,30.885361,19.476295,5.7751,0.362230,0.5744,7.1189,0.7411,9.47e-04
20,32.121276,20.858418,6.0056,0.339997,0.5268,9.0625,0.7292,9.40e-04
21,28.177191,23.672344,6.4547,0.268245,0.4762,8.6179,0.6815,9.32e-04
22,28.831120,24.012322,6.5315,0.205761,0.5179,9.7053,0.6875,9.23e-04
23,30.978419,38.323568,9.1827,-0.456917,0.3601,10.0283,0.5089,9.14e-04
24,28.041747,21.556885,6.0660,0.332810,0.5298,8.7234,0.7143,9.05e-04
25,27.695998,29.859405,7.6435,0.003197,0.3988,9.3405,0.6131,8.95e-04
26,26.855211,21.940268,6.1748,0.285858,0.5179,9.5373,0.7083,8.84e-04
27,26.586531,27.706404,7.2590,0.097397,0.4554,9.0058,0.6339,8.73e-04
28,26.779246,23.751684,6.5714,0.220488,0.4732,10.0192,0.5893,8.62e-04
29,26.708856,22.696084,6.3801,0.281882,0.4851,8.6452,0.5923,8.51e-04
30,25.260292,25.133628,6.8506,0.186619,0.4673,10.0236,0.6399,8.39e-04
31,24.776798,20.087822,5.8961,0.382838,0.5357,7.7344,0.7292,8.26e-04
32,23.267564,27.685776,7.3659,0.085705,0.4196,10.9420,0.5476,8.14e-04
33,24.222957,23.448886,6.5763,0.239308,0.4792,8.8337,0.5714,8.01e-04
34,23.368423,24.837288,6.9051,0.196555,0.4375,9.4766,0.5893,7.87e-04
