epoch,train_loss,val_loss,val_mae,val_r2,val_within_5,val_pred_std,val_clin_acc,lr
1,257.480046,267.423655,55.4792,-31.426476,0.0030,0.1414,0.0536,2.00e-04
2,138.567094,27.535089,8.0359,-0.474623,0.4673,2.0003,0.6101,4.00e-04
3,53.002219,32.337721,8.6570,-0.161751,0.3095,3.1432,0.5417,6.00e-04
4,44.441437,24.768688,7.1739,0.144811,0.4226,6.8946,0.6250,8.00e-04
5,40.506993,24.696358,7.2021,0.126063,0.4345,8.4369,0.6012,1.00e-03
6,36.607103,31.008140,8.3484,-0.134839,0.3601,9.2808,0.5298,1.00e-03
7,35.904662,23.631579,6.9405,0.175786,0.4315,8.9282,0.5952,9.99e-04
8,32.550026,23.178774,6.8575,0.193244,0.4435,9.0522,0.6131,9.98e-04
9,31.937217,24.993751,7.1784,0.124524,0.4405,9.9256,0.5714,9.96e-04
10,34.844780,27.294381,7.7317,0.009484,0.4167,10.3731,0.5357,9.93e-04
11,32.681852,27.496185,7.7504,0.033751,0.3929,9.6593,0.5625,9.90e-04
12,30.182515,24.284974,7.0286,0.158823,0.4613,9.9282,0.6042,9.87e-04
13,32.712785,35.852652,9.5919,-0.431740,0.2887,8.5593,0.4077,9.83e-04
14,30.913854,41.645404,10.6064,-0.617763,0.2470,8.2226,0.3988,9.78e-04
15,28.894385,28.565854,7.9788,-0.036071,0.3780,10.0036,0.5863,9.73e-04
16,27.600439,27.778775,7.7062,0.036964,0.3839,8.5324,0.5982,9.67e-04
17,26.613264,27.341919,7.5968,0.044179,0.3958,8.8624,0.6012,9.61e-04
18,26.105597,27.462645,7.8022,-0.020496,0.4018,9.1767,0.5327,9.55e-04
19,29.101073,22.606836,6.6519,0.238084,0.4673,9.0387,0.6488,9.47e-04
20,25.199875,42.756399,10.8043,-0.666831,0.2143,8.8145,0.4137,9.40e-04
21,29.577229,21.461473,6.5498,0.270334,0.4732,8.4565,0.6696,9.32e-04
22,25.767417,27.124785,7.7164,0.001317,0.3839,10.3675,0.6042,9.23e-04
23,26.794958,30.522136,8.2803,-0.106748,0.3542,9.3630,0.5714,9.14e-04
24,25.005918,22.215867,6.6215,0.240389,0.4673,9.4021,0.6190,9.05e-04
25,24.047665,23.665495,6.9116,0.174463,0.4583,9.5070,0.6220,8.95e-04
26,25.053136,23.026800,6.7811,0.193821,0.4762,9.6178,0.6399,8.84e-04
27,26.433082,22.220085,6.6006,0.228781,0.4732,9.8325,0.6399,8.73e-04
28,22.020296,22.134710,6.5849,0.240234,0.5030,9.3527,0.6577,8.62e-04
29,23.433739,22.888093,6.7655,0.223951,0.4464,9.0767,0.6637,8.51e-04
30,22.573854,24.049704,6.9957,0.174657,0.4524,9.2670,0.6250,8.39e-04
31,20.917973,22.251361,6.6597,0.229483,0.4821,9.7304,0.6339,8.26e-04
32,22.273632,26.280212,7.4971,0.066698,0.4256,9.7143,0.6339,8.14e-04
33,22.182663,25.520073,7.2945,0.136594,0.4226,8.8948,0.6071,8.01e-04
34,22.090494,23.091875,6.8393,0.178036,0.4613,9.8590,0.6131,7.87e-04
35,21.035059,25.748946,7.3804,0.063644,0.4256,10.2571,0.6399,7.73e-04
36,23.890475,24.822521,7.2154,0.121464,0.4226,9.3491,0.6518,7.59e-04
