epoch,train_loss,val_loss,val_mae,val_r2,val_within_5,val_pred_std,val_clin_acc,lr
1,250.688424,244.251007,50.8487,-28.251810,0.0045,0.2490,0.0536,2.00e-04
2,99.144453,23.832252,7.0170,0.003589,0.4330,1.7466,0.7366,4.00e-04
3,48.967950,35.227614,9.2030,-0.318408,0.2634,3.6639,0.4821,6.00e-04
4,45.335679,23.102441,6.7036,0.166812,0.4643,6.8476,0.6317,8.00e-04
5,40.525079,29.973293,8.0648,-0.113670,0.3839,8.0876,0.5335,1.00e-03
6,39.849670,34.234912,8.7965,-0.283659,0.3281,8.0766,0.4844,1.00e-03
7,35.107260,24.356653,6.8718,0.182063,0.4420,7.8698,0.6116,9.99e-04
8,35.073506,41.182815,10.3064,-0.660295,0.2679,8.1691,0.3951,9.98e-04
9,33.158062,33.433780,8.6526,-0.273584,0.3482,9.0956,0.4955,9.96e-04
10,30.625412,22.091872,6.4261,0.256490,0.4866,9.3686,0.6362,9.93e-04
11,30.337460,20.677805,6.1020,0.340388,0.4888,9.0367,0.6317,9.90e-04
12,33.745902,18.509997,5.7516,0.418099,0.5357,7.9893,0.6652,9.87e-04
13,28.857143,18.921252,5.8127,0.398901,0.5201,9.0634,0.6540,9.83e-04
14,27.813780,21.346085,6.4755,0.295833,0.4464,8.7424,0.6116,9.78e-04
15,29.386043,20.497459,6.0634,0.349838,0.4933,7.8087,0.6719,9.73e-04
16,27.760851,21.043393,6.3263,0.318235,0.4688,9.4552,0.6317,9.67e-04
17,29.897595,24.844743,6.9219,0.151630,0.4754,8.6002,0.6183,9.61e-04
18,25.087205,20.354234,6.2220,0.336388,0.4821,8.6979,0.6138,9.55e-04
19,25.657508,19.653348,5.9327,0.370261,0.5089,8.6444,0.6696,9.47e-04
20,27.051869,19.058474,6.0025,0.388497,0.4844,8.2666,0.6518,9.40e-04
21,26.604854,30.236034,7.9713,-0.053114,0.3750,8.5768,0.5312,9.32e-04
22,24.701075,22.994694,6.5481,0.239725,0.4821,8.7112,0.6339,9.23e-04
23,26.884504,19.517527,6.0584,0.382451,0.4665,9.0303,0.6496,9.14e-04
24,25.714193,17.961396,5.6421,0.439447,0.5223,8.6076,0.6719,9.05e-04
25,27.360393,23.054944,6.5667,0.234798,0.4732,9.7953,0.6317,8.95e-04
26,23.880496,19.520420,5.8543,0.385753,0.5089,8.5764,0.6629,8.84e-04
27,22.594962,18.835908,5.7923,0.415563,0.5246,9.1368,0.6741,8.73e-04
28,22.976643,21.770607,6.2463,0.306836,0.4866,9.2458,0.6272,8.62e-04
29,22.937399,22.149364,6.3384,0.287066,0.4754,8.6819,0.6161,8.51e-04
30,22.918852,19.091914,5.8634,0.405574,0.5089,9.5398,0.6496,8.39e-04
31,22.721691,20.766422,6.1193,0.330772,0.5022,8.8255,0.6473,8.26e-04
32,21.933319,19.240243,5.8227,0.386372,0.5312,9.1676,0.6585,8.14e-04
33,21.202264,18.946295,5.8217,0.410597,0.4978,9.3960,0.6451,8.01e-04
34,21.453763,19.710413,5.9153,0.389448,0.4978,9.4883,0.6473,7.87e-04
35,21.303762,18.980384,5.7966,0.420645,0.4933,9.1487,0.6741,7.73e-04
36,20.297269,19.413377,6.0526,0.398582,0.4710,9.4183,0.6183,7.59e-04
37,20.179644,18.251125,5.7633,0.424585,0.4866,9.0475,0.6518,7.45e-04
38,20.181338,20.541021,6.0473,0.354663,0.5268,8.4964,0.6362,7.31e-04
39,19.394775,17.973130,5.6535,0.444795,0.5201,8.5918,0.6629,7.16e-04
