epoch,train_loss,val_loss,val_mae,val_r2,val_within_5,val_pred_std,val_clin_acc,lr,val_cls_acc,val_cls_loss
1,264.569916,250.489216,49.3041,-26.554115,0.0045,0.2889,0.0536,2.00e-04,0.0893,2.368014
2,98.519245,23.273207,6.1705,0.009213,0.5469,2.2032,0.7366,4.00e-04,0.1004,1.632701
3,53.696604,28.200235,7.0278,0.079266,0.4330,5.0525,0.6496,6.00e-04,0.1250,1.845865
4,44.694132,34.900325,8.3137,-0.194310,0.3705,8.6746,0.5246,8.00e-04,0.1629,1.627335
5,41.392817,41.531530,9.5854,-0.500134,0.2879,8.7987,0.4487,1.00e-03,0.1205,1.562194
6,38.449867,34.886490,8.3243,-0.163386,0.3638,8.6657,0.4978,1.00e-03,0.1607,1.348534
7,36.313885,26.512533,6.7988,0.164244,0.4487,9.4218,0.5871,9.99e-04,0.1741,1.354685
8,35.141732,28.633579,7.1915,0.090342,0.4308,8.5024,0.6004,9.98e-04,0.1875,1.346132
9,34.963855,24.646290,6.3944,0.270005,0.4732,8.0518,0.6406,9.96e-04,0.1830,1.316474
10,34.380754,42.383913,9.8060,-0.538416,0.2902,9.3301,0.4509,9.93e-04,0.1853,1.480492
11,38.557897,20.551732,5.7056,0.418224,0.5201,7.9884,0.6875,9.90e-04,0.1897,1.368732
12,32.289387,24.461224,6.7908,0.200704,0.4464,7.3940,0.5871,9.87e-04,0.1205,1.412812
13,32.237378,29.706981,7.3489,0.078117,0.4107,9.1249,0.5737,9.83e-04,0.1496,1.634304
14,28.525399,21.037773,5.9193,0.394467,0.4978,8.8244,0.6674,9.78e-04,0.1830,1.350651
15,28.771034,20.651989,5.8347,0.398101,0.5000,8.8777,0.6473,9.73e-04,0.1719,1.286098
16,27.431496,21.519080,6.1691,0.358740,0.4665,8.4721,0.6295,9.67e-04,0.1763,1.395006
17,26.694127,20.542433,5.6510,0.416049,0.5469,8.7656,0.6652,9.61e-04,0.1696,1.372396
18,28.022507,37.440455,8.8702,-0.276154,0.3170,8.6050,0.4844,9.55e-04,0.1585,1.517826
19,27.263835,20.059089,5.6733,0.441905,0.5179,8.1401,0.6741,9.47e-04,0.1808,1.358839
20,26.839659,31.154802,7.6752,0.008156,0.3951,8.4283,0.5469,9.40e-04,0.1942,1.400899
21,28.152013,27.950013,7.6028,0.072297,0.3683,9.3399,0.5045,9.32e-04,0.1384,1.546116
