epoch,train_loss,val_loss,val_mae,val_r2,val_within_5,val_pred_std,val_clin_acc,lr
1,272.087023,294.069542,58.5325,-37.443447,0.0000,0.0007,0.0536,2.00e-04
2,202.153057,89.306652,19.1037,-3.421759,0.0357,0.0027,0.0536,4.00e-04
3,59.706795,30.335917,7.8677,-0.105904,0.3415,0.7090,0.7366,6.00e-04
4,47.883902,22.846781,6.2735,0.226042,0.5290,6.8132,0.6897,8.00e-04
5,43.333771,18.403680,5.4455,0.362400,0.6071,7.1690,0.7433,1.00e-03
6,43.065693,23.077117,6.2864,0.258029,0.4933,7.8321,0.6875,1.00e-03
7,40.201364,27.558254,7.3424,0.001741,0.4308,11.3605,0.5201,9.99e-04
8,38.463155,19.949557,5.9220,0.341406,0.5223,7.7475,0.6830,9.98e-04
9,36.278398,20.244875,5.9953,0.337129,0.5000,9.4280,0.6272,9.96e-04
10,36.513292,19.670882,5.8038,0.383599,0.5312,8.8837,0.6562,9.93e-04
11,32.781072,21.697931,6.0897,0.338626,0.5156,7.9585,0.6741,9.90e-04
12,32.377607,20.885078,5.9217,0.347700,0.5268,8.8330,0.6696,9.87e-04
13,32.392178,22.491992,6.1281,0.292347,0.5268,9.1843,0.6674,9.83e-04
14,30.847018,29.174650,7.5491,-0.050015,0.4286,10.3320,0.5938,9.78e-04
15,32.854167,20.737982,5.8947,0.366081,0.5268,9.4568,0.6674,9.73e-04
16,30.043031,16.994625,5.2500,0.482132,0.5804,6.8559,0.7433,9.67e-04
17,29.579743,18.620036,5.5445,0.441643,0.5759,8.9971,0.6964,9.61e-04
18,27.841459,18.981727,5.7300,0.419687,0.5223,8.6889,0.6317,9.55e-04
19,29.059413,19.722234,6.0173,0.369046,0.4933,9.5666,0.7054,9.47e-04
20,27.138892,17.849281,5.3828,0.462721,0.5647,8.4909,0.7165,9.40e-04
21,29.344838,17.082692,5.3042,0.490355,0.5513,8.4024,0.6942,9.32e-04
22,25.799904,25.812511,6.9506,0.107721,0.4844,11.1244,0.5826,9.23e-04
23,25.812308,21.742337,5.9601,0.342621,0.5402,9.3484,0.6853,9.14e-04
24,25.924952,19.269613,5.6742,0.430547,0.5446,8.7628,0.6540,9.05e-04
25,26.296841,19.195091,5.6533,0.426131,0.5379,9.4309,0.6719,8.95e-04
26,24.236078,18.535867,5.4052,0.469255,0.5737,8.4481,0.7098,8.84e-04
27,24.487793,19.851768,5.8870,0.394897,0.5045,8.7773,0.5938,8.73e-04
28,23.646764,24.501387,6.9495,0.211200,0.4174,10.9815,0.4821,8.62e-04
29,23.581552,28.872561,7.5644,-0.055963,0.4576,11.2121,0.5915,8.51e-04
30,23.637575,16.343378,5.0755,0.536287,0.6004,7.9440,0.7478,8.39e-04
31,23.202708,31.923710,7.9167,-0.116384,0.4062,9.7603,0.5446,8.26e-04
32,24.203488,18.371265,5.5464,0.453262,0.5335,8.8759,0.7500,8.14e-04
33,22.620621,18.786772,5.5275,0.454996,0.5424,9.4503,0.7143,8.01e-04
34,23.151565,29.073964,7.3186,0.032008,0.4308,10.7037,0.5357,7.87e-04
35,21.657185,20.900530,5.9966,0.357389,0.5112,9.5390,0.5826,7.73e-04
36,22.638081,20.702744,5.8814,0.372582,0.5357,9.5692,0.6339,7.59e-04
37,22.650682,22.545359,6.2017,0.278745,0.5179,9.8513,0.6429,7.45e-04
38,20.852225,20.877522,6.1401,0.336038,0.4732,8.0857,0.6272,7.31e-04
39,22.017128,19.371450,5.6987,0.408540,0.5402,8.7278,0.6250,7.16e-04
40,21.482074,19.222082,5.6699,0.422468,0.5268,8.9261,0.6094,7.01e-04
41,21.433519,25.203698,6.6849,0.195491,0.4754,10.0895,0.6183,6.86e-04
42,20.099757,19.568665,5.7188,0.399734,0.5290,9.6040,0.6696,6.70e-04
43,20.054768,23.290849,6.5832,0.266809,0.4621,10.6248,0.4955,6.55e-04
44,19.033263,19.786433,5.8825,0.379027,0.4978,9.5453,0.6183,6.39e-04
45,20.310054,19.272985,5.8303,0.384576,0.5179,8.3577,0.6585,6.23e-04
