epoch,train_loss,val_loss,val_mae,val_r2,val_within_5,val_pred_std,val_clin_acc,lr
1,272.093777,293.157847,58.3501,-34.764893,0.0000,0.0026,0.0536,2.00e-04
2,242.454491,240.716365,48.2157,-23.723648,0.0089,0.0065,0.0536,4.00e-04
3,147.043511,76.096794,16.6203,-2.215497,0.0625,0.0143,0.1071,6.00e-04
4,62.370805,27.998475,7.1926,0.037198,0.4524,5.4488,0.6429,8.00e-04
5,47.344989,24.264329,6.4811,0.251755,0.4494,7.4003,0.6935,1.00e-03
6,46.618583,36.830976,9.0828,-0.157185,0.2381,5.4283,0.5000,1.00e-03
7,41.778299,24.992367,6.6710,0.239846,0.4286,7.2006,0.6548,9.99e-04
8,42.859804,21.024855,6.0990,0.311582,0.5655,8.2117,0.7113,9.98e-04
9,40.030901,18.905589,5.6440,0.406317,0.6042,7.3281,0.7381,9.96e-04
10,38.941867,24.668170,6.7100,0.146552,0.5119,10.0995,0.6815,9.93e-04
11,36.037554,21.133941,6.0191,0.293093,0.5506,9.8687,0.7113,9.90e-04
12,36.257404,21.883519,6.2023,0.288752,0.5387,8.4231,0.6994,9.87e-04
13,35.761737,20.149174,5.9618,0.305502,0.5506,6.0279,0.7470,9.83e-04
14,36.675036,24.809105,6.7210,0.129005,0.5238,10.3530,0.6667,9.78e-04
15,34.171201,21.105934,6.0889,0.291661,0.5417,9.1107,0.7321,9.73e-04
16,34.026014,29.284798,7.6715,-0.069456,0.4583,10.5539,0.5923,9.67e-04
17,32.208219,24.178009,6.6348,0.194018,0.4970,9.2356,0.6726,9.61e-04
18,31.875663,26.853175,7.1132,0.022951,0.4792,10.5606,0.6339,9.55e-04
19,31.486790,18.379493,5.4909,0.436769,0.5744,7.1127,0.7619,9.47e-04
20,32.054809,26.613086,7.2921,0.042241,0.4673,10.7536,0.5774,9.40e-04
21,30.150104,27.222831,7.2679,0.050421,0.4851,10.7912,0.6161,9.32e-04
22,29.148852,21.307823,5.9976,0.335523,0.5298,8.3142,0.7054,9.23e-04
23,28.082035,20.931932,6.1036,0.291434,0.5387,8.3646,0.6518,9.14e-04
24,31.691130,21.959586,6.1750,0.300989,0.5238,9.1031,0.7024,9.05e-04
25,26.935854,23.356070,6.5068,0.222355,0.5089,9.9732,0.6577,8.95e-04
26,29.445133,24.884531,6.9464,0.103870,0.4554,7.1340,0.5357,8.84e-04
27,31.963579,20.713905,5.9844,0.349181,0.5327,8.7059,0.7143,8.73e-04
28,27.778391,19.345100,5.6879,0.390572,0.5506,8.1778,0.7054,8.62e-04
29,27.425393,25.233976,6.8185,0.122447,0.4911,11.3020,0.6220,8.51e-04
30,25.460217,20.273716,5.8745,0.341822,0.5595,8.7308,0.7143,8.39e-04
31,26.767391,23.699170,6.4948,0.224821,0.4911,9.8628,0.6518,8.26e-04
32,26.915456,27.872731,7.2819,-0.037731,0.4851,11.6478,0.6190,8.14e-04
33,26.266747,24.214219,6.5876,0.189623,0.4970,10.3392,0.6696,8.01e-04
34,25.831699,18.719510,5.5915,0.387854,0.5863,7.8340,0.7262,7.87e-04
