epoch,train_loss,val_loss,val_mae,val_r2,val_within_5,val_pred_std,val_clin_acc,lr
1,265.579439,288.141273,57.3870,-35.992184,0.0000,0.0036,0.0536,2.00e-04
2,223.695066,201.129715,40.5763,-17.911356,0.0156,0.0079,0.0536,4.00e-04
3,95.514861,58.249534,13.1960,-1.299909,0.1116,0.0370,0.1094,6.00e-04
4,60.735622,26.933088,7.2189,-0.049602,0.4263,0.0599,0.7366,8.00e-04
5,61.098005,31.404355,8.1102,-0.155571,0.3393,0.0075,0.7366,1.00e-03
6,61.541559,47.014934,11.0166,-0.721017,0.1540,0.0104,0.1094,1.00e-03
7,60.400592,26.857464,7.2022,-0.048368,0.4286,0.0073,0.7366,9.99e-04
8,61.265093,20.492672,5.8927,0.110489,0.5737,1.8278,0.7411,9.98e-04
9,52.104481,20.916768,5.9497,0.224703,0.5670,5.9167,0.7009,9.96e-04
10,48.433322,20.509850,5.8589,0.294454,0.5603,6.0189,0.7031,9.93e-04
11,43.586650,20.624800,5.8591,0.326499,0.5536,8.4843,0.7009,9.90e-04
12,41.923763,42.253810,10.0840,-0.620287,0.2746,8.4586,0.4420,9.87e-04
13,42.449132,36.987945,9.0424,-0.513341,0.3817,10.3801,0.5357,9.83e-04
14,41.378778,20.316214,5.9692,0.338463,0.5513,8.9353,0.6763,9.78e-04
15,38.574815,21.998925,6.0000,0.321746,0.5379,8.0472,0.6808,9.73e-04
16,36.809478,21.831406,6.3798,0.263514,0.4643,8.2491,0.6116,9.67e-04
17,38.278978,23.105571,6.2948,0.281050,0.5134,7.7114,0.6696,9.61e-04
18,36.861758,21.232278,5.9493,0.329397,0.5379,9.1515,0.6473,9.55e-04
19,35.441272,20.615260,5.8778,0.339904,0.5201,9.8284,0.6496,9.47e-04
20,34.596905,20.907357,5.8795,0.353544,0.5312,9.3215,0.6652,9.40e-04
21,33.240607,19.414088,5.6925,0.395116,0.5312,8.8520,0.6540,9.32e-04
22,33.540006,20.236457,5.7281,0.406416,0.5424,8.5207,0.7121,9.23e-04
23,31.998960,19.179426,5.5868,0.386000,0.5714,9.0681,0.7188,9.14e-04
24,31.418166,20.979845,6.0578,0.345110,0.4955,10.2549,0.6094,9.05e-04
25,30.265045,19.660311,5.6337,0.377595,0.5781,9.4451,0.7054,8.95e-04
26,30.307453,21.171247,6.2477,0.303867,0.4844,8.4936,0.5335,8.84e-04
27,31.152481,22.082205,6.1573,0.288891,0.4866,10.2776,0.6295,8.73e-04
28,30.460998,20.813437,5.8763,0.373662,0.5246,8.8213,0.6540,8.62e-04
29,29.141245,19.819875,5.7415,0.398202,0.5268,9.6356,0.6830,8.51e-04
30,28.375391,21.618678,6.3816,0.266617,0.4844,8.0017,0.5647,8.39e-04
31,28.821394,20.429559,5.8474,0.378043,0.5357,9.0228,0.6875,8.26e-04
32,28.855647,23.237607,6.4084,0.191500,0.5156,11.2390,0.6853,8.14e-04
33,27.403802,26.044848,6.8109,0.118800,0.4911,10.4332,0.6116,8.01e-04
34,27.212331,23.625723,6.3496,0.240065,0.5179,9.2454,0.6384,7.87e-04
35,28.177975,16.610573,5.1441,0.498763,0.6004,8.1963,0.7455,7.73e-04
36,28.113396,17.310052,5.2974,0.470844,0.5826,7.5899,0.7344,7.59e-04
37,27.139452,18.421976,5.5436,0.420031,0.5558,9.0548,0.6875,7.45e-04
38,25.956906,17.568065,5.3200,0.472609,0.5737,8.8360,0.7232,7.31e-04
39,26.553674,19.219399,5.7861,0.402930,0.5156,9.2127,0.5781,7.16e-04
40,24.730649,18.187218,5.4914,0.442930,0.5223,8.8580,0.6429,7.01e-04
41,24.955621,26.155066,6.9925,0.144280,0.4353,11.0816,0.5357,6.86e-04
42,25.314787,21.003130,6.1210,0.348556,0.4777,9.4485,0.5826,6.70e-04
43,23.966065,17.948633,5.4632,0.443551,0.5223,8.2579,0.6830,6.55e-04
44,23.261614,19.928944,5.7620,0.386337,0.5201,9.7718,0.6250,6.39e-04
45,23.375027,24.102970,6.5298,0.247176,0.4732,10.0162,0.6161,6.23e-04
46,24.150385,27.332151,7.0834,0.122477,0.4330,9.4652,0.5938,6.07e-04
47,23.364218,18.014541,5.4342,0.463135,0.5491,8.9703,0.7054,5.90e-04
48,22.843235,22.805669,6.3350,0.269610,0.5000,10.3738,0.6317,5.74e-04
49,22.722530,24.773091,6.6190,0.210073,0.4754,9.5136,0.5893,5.58e-04
50,23.326201,18.741556,5.5565,0.439758,0.5112,9.1202,0.6362,5.41e-04
